Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Lygon St (West),25,7,3,5,7,7,19,45,64,79,103,114,146,176,145,121,132,150,191,241,281,259,231,172
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,3,1,1,1,1,12,34,45,60,66,55,73,99,98,76,72,74,94,63,44,36,36,32,13
Southbank,18,8,8,3,5,22,107,161,233,240,276,308,486,466,480,467,514,615,609,495,431,336,263,162
Queen St (West),16,7,5,10,3,14,28,89,207,180,174,185,301,313,237,183,163,202,189,118,108,106,76,85
Lygon St (East),13,10,4,6,5,10,9,14,40,61,78,82,141,143,125,108,99,119,141,188,227,226,176,100
Alfred Place,16,8,2,2,1,3,5,31,66,63,57,80,150,113,110,129,149,88,59,59,31,27,31,53
Lonsdale St-Spring St (West),14,8,2,2,3,12,40,62,136,117,126,140,184,156,150,129,128,167,141,110,83,65,85,40
Grattan St-Swanston St (West),10,5,2,3,9,15,56,39,88,79,165,147,143,226,118,104,88,96,70,50,37,36,23,16
Monash Rd-Swanston St (West),10,3,2,1,1,3,19,45,93,113,96,78,85,106,91,93,101,117,92,74,54,34,36,18
Tin Alley-Swanston St (West),5,2,4,2,1,5,11,18,35,25,27,37,45,56,50,45,52,56,41,35,23,16,22,8
Little Collins St-Swanston St (East),41,15,9,11,7,34,37,114,227,230,276,353,556,621,601,581,591,611,577,479,422,378,290,199
Flinders La-Swanston St (West),144,73,51,54,59,165,368,550,904,918,1065,1265,1538,1612,1553,1606,1734,1817,1578,1194,1016,873,742,515
Pelham St (South),4,4,3,2,2,4,9,14,42,40,42,40,51,61,41,37,41,55,38,22,19,19,14,9
Melbourne Central-Elizabeth St (East),84,42,26,34,34,42,107,152,289,384,413,576,721,823,790,802,811,827,696,571,492,393,295,178
QVM-Queen St (East),13,10,4,4,7,18,32,82,101,142,168,202,261,297,238,206,146,172,154,120,88,71,66,38
QVM-Therry St (South),47,36,21,23,17,20,71,48,67,108,123,149,247,253,177,139,100,107,114,90,94,98,84,62
Faraday St-Lygon St (West),5,3,5,2,9,6,19,44,108,162,190,232,284,295,294,238,204,250,256,270,240,179,136,72
QVM-Franklin St (North),17,9,8,5,19,20,77,43,81,88,104,96,128,117,153,149,103,111,114,92,66,66,36,42
Elizabeth St-Lonsdale St (South),61,16,8,10,4,10,28,61,109,106,106,185,248,319,270,241,239,270,303,294,271,213,171,135
