bay_id,st_marker_id,status,location,lat,lon
4496,3692N,Unoccupied,"(-37.80872620102045, 144.9665460954397)",-37.80872620102045,144.9665460954397
3408,6257S,Present,"(-37.807708853788455, 144.96630832170874)",-37.807708853788455,144.96630832170874
3572,7101S,Unoccupied,"(-37.80909926288987, 144.95313558997623)",-37.80909926288987,144.95313558997623
4031,C6100,Unoccupied,"(-37.80480420853655, 144.95232441419762)",-37.80480420853655,144.95232441419762
3571,7099S,Unoccupied,"(-37.80907994356288, 144.95320282586704)",-37.80907994356288,144.95320282586704
4304,C6944,Unoccupied,"(-37.80931520479838, 144.95606623186836)",-37.80931520479838,144.95606623186836
3704,7670N,Present,"(-37.80379372113377, 144.95711295373144)",-37.80379372113377,144.95711295373144
5864,C9158,Unoccupied,"(-37.79844107478208, 144.96510894917088)",-37.79844107478208,144.96510894917088
3630,7579S,Unoccupied,"(-37.80582157665668, 144.9546180926589)",-37.80582157665668,144.9546180926589
1284,4476E,Unoccupied,"(-37.81293227279018, 144.95426076235793)",-37.81293227279018,144.95426076235793
4107,C6360,Present,"(-37.80417138872289, 144.9509307250296)",-37.80417138872289,144.9509307250296
4264,C6860,Unoccupied,"(-37.80945053004468, 144.95577383741607)",-37.80945053004468,144.95577383741607
3866,C5628,Unoccupied,"(-37.80703836985889, 144.95494256989207)",-37.80703836985889,144.95494256989207
4249,C6830,Unoccupied,"(-37.809366383362786, 144.95564373036325)",-37.809366383362786,144.95564373036325
3871,C5638,Unoccupied,"(-37.80689341253498, 144.95498678939614)",-37.80689341253498,144.95498678939614
4114,C6380,Unoccupied,"(-37.804008866097604, 144.95095945647938)",-37.804008866097604,144.95095945647938
3682,7642N,Unoccupied,"(-37.80495149707501, 144.948431030418)",-37.80495149707501,144.948431030418
4355,C7140,Unoccupied,"(-37.80844946288812, 144.9526373310938)",-37.80844946288812,144.9526373310938
5866,C9166,Unoccupied,"(-37.798448675108475, 144.96517647689)",-37.798448675108475,144.96517647689
3008,5072E,Unoccupied,"(-37.80495738619152, 144.95797680186288)",-37.80495738619152,144.95797680186288
4267,C6866,Unoccupied,"(-37.80943461730371, 144.95583958698757)",-37.80943461730371,144.95583958698757
4358,C7150,Unoccupied,"(-37.807083488656374, 144.9538956261695)",-37.807083488656374,144.9538956261695
857,673W,Unoccupied,"(-37.81440535365421, 144.96871090989146)",-37.81440535365421,144.96871090989146
4350,C7116,Unoccupied,"(-37.80804514638703, 144.95403959462425)",-37.80804514638703,144.95403959462425
3384,6211W,Unoccupied,"(-37.806264487129894, 144.9509651348636)",-37.806264487129894,144.9509651348636
2706,10338E,Present,"(-37.803428726035634, 144.94395698879092)",-37.803428726035634,144.94395698879092
3157,5349W,Unoccupied,"(-37.810148414031445, 144.95558171538377)",-37.810148414031445,144.95558171538377
7054,4682Ea,Unoccupied,"(-37.805096353442494, 144.9592315617178)",-37.805096353442494,144.9592315617178
4104,C6350,Unoccupied,"(-37.804241181936646, 144.95091819325842)",-37.804241181936646,144.95091819325842
3698,7663S,Unoccupied,"(-37.804081524564765, 144.95801944615067)",-37.804081524564765,144.95801944615067
3918,C5750,Present,"(-37.80477303060156, 144.95534364200836)",-37.80477303060156,144.95534364200836
3403,6252N,Unoccupied,"(-37.80758513511026, 144.96637132175528)",-37.80758513511026,144.96637132175528
8890,C2876,Unoccupied,"(-37.810717460357736, 144.96758983216253)",-37.810717460357736,144.96758983216253
3848,C5584,Unoccupied,"(-37.80629975513395, 144.9539156458021)",-37.80629975513395,144.9539156458021
5858,C9134,Unoccupied,"(-37.79841449251995, 144.96486454356466)",-37.79841449251995,144.96486454356466
2643,10117W,Unoccupied,"(-37.80331033543291, 144.94795547514428)",-37.80331033543291,144.94795547514428
3510,6664N,Unoccupied,"(-37.808619975254956, 144.95851053592747)",-37.808619975254956,144.95851053592747
1541,1910N,Unoccupied,"(-37.81446480983439, 144.969777886918)",-37.81446480983439,144.969777886918
5183,C8018,Present,"(-37.81051613054472, 144.95231748350216)",-37.81051613054472,144.95231748350216
3378,6199W,Present,"(-37.80647917016282, 144.95106308998027)",-37.80647917016282,144.95106308998027
4194,C6658,Present,"(-37.808685459368306, 144.95863135976055)",-37.808685459368306,144.95863135976055
